RCJSoccer2014: SuperteamsOPL [ SCHEDULE ] 


Home, Away, Location, Officials, Date, Time
STOPL01, STOPL02, ST2, Crew02, 07/21/14 Mon, 14:50:00
STOPL05, STOPL03, ST1, Crew01, 07/21/14 Mon, 15:40:00
STOPL02, STOPL04, ST2, Crew02, 07/21/14 Mon, 16:30:00
STOPL05, STOPL01, ST1, Crew01, 07/21/14 Mon, 17:20:00
STOPL04, STOPL03, ST2, Crew02, 07/22/14 Tue, 14:50:00
STOPL02, STOPL05, ST1, Crew01, 07/22/14 Tue, 15:40:00
STOPL03, STOPL01, ST2, Crew02, 07/22/14 Tue, 16:30:00
STOPL04, STOPL05, ST2, Crew02, 07/23/14 Wed, 14:50:00
STOPL03, STOPL02, ST1, Crew01, 07/23/14 Wed, 15:40:00
STOPL01, STOPL04, ST2, Crew02, 07/23/14 Wed, 16:30:00

